"year","countryCode","species","n_observations","country_name"
2011,"NO","Calidris temminckii",895,"Norway"
2011,"SE","Calidris alba",1686,"Sweden"
2011,"SE","Calidris alpina",436,"Sweden"
2011,"SE","Calidris ferruginea",4590,"Sweden"
2011,"SE","Calidris maritima",1942,"Sweden"
2011,"SE","Calidris minuta",3801,"Sweden"
2011,"SE","Calidris temminckii",5127,"Sweden"
2012,"FI","Calidris alba",23,"Finland"
2012,"FI","Calidris alpina",296,"Finland"
2012,"FI","Calidris ferruginea",63,"Finland"
2012,"FI","Calidris maritima",58,"Finland"
2012,"FI","Calidris minuta",80,"Finland"
2012,"FI","Calidris temminckii",80,"Finland"
2012,"NO","Calidris alba",856,"Norway"
2012,"NO","Calidris ferruginea",522,"Norway"
2012,"NO","Calidris maritima",1484,"Norway"
2012,"NO","Calidris minuta",842,"Norway"
2012,"NO","Calidris temminckii",969,"Norway"
2012,"SE","Calidris alba",2128,"Sweden"
2012,"SE","Calidris alpina",486,"Sweden"
2012,"SE","Calidris ferruginea",4267,"Sweden"
2012,"SE","Calidris maritima",1458,"Sweden"
2012,"SE","Calidris minuta",3371,"Sweden"
2012,"SE","Calidris temminckii",4459,"Sweden"
2013,"FI","Calidris alba",8,"Finland"
2013,"FI","Calidris alpina",188,"Finland"
2013,"FI","Calidris ferruginea",26,"Finland"
2013,"FI","Calidris maritima",120,"Finland"
2013,"FI","Calidris minuta",37,"Finland"
2013,"FI","Calidris temminckii",109,"Finland"
2013,"NO","Calidris alba",1031,"Norway"
2013,"NO","Calidris ferruginea",769,"Norway"
2013,"NO","Calidris maritima",1714,"Norway"
2013,"NO","Calidris minuta",1114,"Norway"
2013,"NO","Calidris temminckii",907,"Norway"
2013,"SE","Calidris alba",1818,"Sweden"
2013,"SE","Calidris alpina",401,"Sweden"
2013,"SE","Calidris ferruginea",4289,"Sweden"
2013,"SE","Calidris maritima",1829,"Sweden"
2013,"SE","Calidris minuta",2949,"Sweden"
2013,"SE","Calidris temminckii",3807,"Sweden"
2014,"FI","Calidris alba",19,"Finland"
2014,"FI","Calidris alpina",226,"Finland"
2014,"FI","Calidris ferruginea",52,"Finland"
2014,"FI","Calidris maritima",86,"Finland"
2014,"FI","Calidris minuta",63,"Finland"
2014,"FI","Calidris temminckii",116,"Finland"
2014,"NO","Calidris alba",1154,"Norway"
2014,"NO","Calidris alpina",3,"Norway"
2014,"NO","Calidris ferruginea",848,"Norway"
2014,"NO","Calidris maritima",2009,"Norway"
2014,"NO","Calidris minuta",1757,"Norway"
2014,"NO","Calidris temminckii",1242,"Norway"
2014,"SE","Calidris alba",2230,"Sweden"
2014,"SE","Calidris alpina",250,"Sweden"
2014,"SE","Calidris ferruginea",4338,"Sweden"
2014,"SE","Calidris maritima",2588,"Sweden"
2014,"SE","Calidris minuta",3860,"Sweden"
2014,"SE","Calidris temminckii",4058,"Sweden"
2015,"FI","Calidris alba",13,"Finland"
2015,"FI","Calidris alpina",132,"Finland"
2015,"FI","Calidris ferruginea",40,"Finland"
2015,"FI","Calidris maritima",270,"Finland"
2015,"FI","Calidris minuta",38,"Finland"
2015,"FI","Calidris temminckii",80,"Finland"
2015,"NO","Calidris alba",932,"Norway"
2015,"NO","Calidris alpina",13,"Norway"
2015,"NO","Calidris ferruginea",301,"Norway"
2015,"NO","Calidris maritima",1884,"Norway"
2015,"NO","Calidris minuta",1063,"Norway"
2015,"NO","Calidris temminckii",1254,"Norway"
2015,"SE","Calidris alba",1970,"Sweden"
2015,"SE","Calidris alpina",456,"Sweden"
2015,"SE","Calidris ferruginea",3740,"Sweden"
2015,"SE","Calidris maritima",2091,"Sweden"
2015,"SE","Calidris minuta",2695,"Sweden"
2015,"SE","Calidris temminckii",4141,"Sweden"
2016,"FI","Calidris alba",12,"Finland"
2016,"FI","Calidris alpina",244,"Finland"
2016,"FI","Calidris ferruginea",93,"Finland"
2016,"FI","Calidris maritima",114,"Finland"
2016,"FI","Calidris minuta",47,"Finland"
2016,"FI","Calidris temminckii",109,"Finland"
2016,"NO","Calidris alba",1321,"Norway"
2016,"NO","Calidris ferruginea",1013,"Norway"
2016,"NO","Calidris maritima",1557,"Norway"
2016,"NO","Calidris minuta",1559,"Norway"
2016,"NO","Calidris temminckii",969,"Norway"
2016,"SE","Calidris alba",2344,"Sweden"
2016,"SE","Calidris alpina",389,"Sweden"
2016,"SE","Calidris ferruginea",5235,"Sweden"
2016,"SE","Calidris maritima",2082,"Sweden"
2016,"SE","Calidris minuta",4692,"Sweden"
2016,"SE","Calidris temminckii",4715,"Sweden"
2017,"FI","Calidris alba",30,"Finland"
2017,"FI","Calidris alpina",246,"Finland"
2017,"FI","Calidris ferruginea",68,"Finland"
2017,"FI","Calidris maritima",130,"Finland"
2017,"FI","Calidris minuta",107,"Finland"
2017,"FI","Calidris temminckii",226,"Finland"
2017,"NO","Calidris alba",1127,"Norway"
2017,"NO","Calidris ferruginea",509,"Norway"
2017,"NO","Calidris maritima",2059,"Norway"
2017,"NO","Calidris minuta",1370,"Norway"
2017,"NO","Calidris temminckii",1098,"Norway"
2017,"SE","Calidris alba",1877,"Sweden"
2017,"SE","Calidris alpina",433,"Sweden"
2017,"SE","Calidris ferruginea",3441,"Sweden"
2017,"SE","Calidris maritima",2635,"Sweden"
2017,"SE","Calidris minuta",3828,"Sweden"
2017,"SE","Calidris temminckii",4529,"Sweden"
2018,"FI","Calidris alba",15,"Finland"
2018,"FI","Calidris alpina",184,"Finland"
2018,"FI","Calidris ferruginea",55,"Finland"
2018,"FI","Calidris maritima",107,"Finland"
2018,"FI","Calidris minuta",46,"Finland"
2018,"FI","Calidris temminckii",185,"Finland"
2018,"NO","Calidris alba",1160,"Norway"
2018,"NO","Calidris alpina",3,"Norway"
2018,"NO","Calidris ferruginea",450,"Norway"
2018,"NO","Calidris maritima",2058,"Norway"
2018,"NO","Calidris minuta",652,"Norway"
2018,"NO","Calidris temminckii",1048,"Norway"
2018,"SE","Calidris alba",1965,"Sweden"
2018,"SE","Calidris alpina",244,"Sweden"
2018,"SE","Calidris ferruginea",3975,"Sweden"
2018,"SE","Calidris maritima",2255,"Sweden"
2018,"SE","Calidris minuta",2384,"Sweden"
2018,"SE","Calidris temminckii",4211,"Sweden"
2019,"FI","Calidris alba",41,"Finland"
2019,"FI","Calidris alpina",118,"Finland"
2019,"FI","Calidris ferruginea",67,"Finland"
2019,"FI","Calidris maritima",127,"Finland"
2019,"FI","Calidris minuta",87,"Finland"
2019,"FI","Calidris temminckii",324,"Finland"
2019,"NO","Calidris alba",974,"Norway"
2019,"NO","Calidris alpina",1,"Norway"
2019,"NO","Calidris ferruginea",531,"Norway"
2019,"NO","Calidris maritima",2054,"Norway"
2019,"NO","Calidris minuta",771,"Norway"
2019,"NO","Calidris temminckii",1254,"Norway"
2019,"SE","Calidris alba",1835,"Sweden"
2019,"SE","Calidris alpina",275,"Sweden"
2019,"SE","Calidris ferruginea",4164,"Sweden"
2019,"SE","Calidris maritima",2320,"Sweden"
2019,"SE","Calidris minuta",2327,"Sweden"
2019,"SE","Calidris temminckii",4080,"Sweden"
2020,"FI","Calidris alba",48,"Finland"
2020,"FI","Calidris alpina",446,"Finland"
2020,"FI","Calidris ferruginea",156,"Finland"
2020,"FI","Calidris maritima",200,"Finland"
2020,"FI","Calidris minuta",179,"Finland"
2020,"FI","Calidris temminckii",339,"Finland"
2020,"NO","Calidris alba",1314,"Norway"
2020,"NO","Calidris alpina",4,"Norway"
2020,"NO","Calidris ferruginea",855,"Norway"
2020,"NO","Calidris maritima",2389,"Norway"
2020,"NO","Calidris minuta",1067,"Norway"
2020,"NO","Calidris temminckii",1275,"Norway"
2020,"SE","Calidris alba",3085,"Sweden"
2020,"SE","Calidris alpina",456,"Sweden"
2020,"SE","Calidris ferruginea",6186,"Sweden"
2020,"SE","Calidris maritima",3100,"Sweden"
2020,"SE","Calidris minuta",4003,"Sweden"
2020,"SE","Calidris temminckii",5345,"Sweden"
2021,"FI","Calidris alba",58,"Finland"
2021,"FI","Calidris alpina",651,"Finland"
2021,"FI","Calidris ferruginea",155,"Finland"
2021,"FI","Calidris maritima",141,"Finland"
2021,"FI","Calidris minuta",205,"Finland"
2021,"FI","Calidris temminckii",368,"Finland"
2021,"NO","Calidris alba",1732,"Norway"
2021,"NO","Calidris alpina",1,"Norway"
2021,"NO","Calidris ferruginea",613,"Norway"
2021,"NO","Calidris maritima",2857,"Norway"
2021,"NO","Calidris minuta",1850,"Norway"
2021,"NO","Calidris temminckii",1188,"Norway"
2021,"SE","Calidris alba",3720,"Sweden"
2021,"SE","Calidris alpina",437,"Sweden"
2021,"SE","Calidris ferruginea",4815,"Sweden"
2021,"SE","Calidris maritima",3990,"Sweden"
2021,"SE","Calidris minuta",5052,"Sweden"
2021,"SE","Calidris temminckii",5350,"Sweden"
2022,"FI","Calidris alba",63,"Finland"
2022,"FI","Calidris alpina",361,"Finland"
2022,"FI","Calidris ferruginea",189,"Finland"
2022,"FI","Calidris maritima",110,"Finland"
2022,"FI","Calidris minuta",213,"Finland"
2022,"FI","Calidris temminckii",524,"Finland"
2022,"NO","Calidris alba",1807,"Norway"
2022,"NO","Calidris alpina",4,"Norway"
2022,"NO","Calidris ferruginea",880,"Norway"
2022,"NO","Calidris maritima",3329,"Norway"
2022,"NO","Calidris minuta",1474,"Norway"
2022,"NO","Calidris temminckii",1500,"Norway"
2022,"SE","Calidris alba",3236,"Sweden"
2022,"SE","Calidris alpina",395,"Sweden"
2022,"SE","Calidris ferruginea",5577,"Sweden"
2022,"SE","Calidris maritima",4474,"Sweden"
2022,"SE","Calidris minuta",5051,"Sweden"
2022,"SE","Calidris temminckii",5431,"Sweden"
2023,"FI","Calidris alba",37,"Finland"
2023,"FI","Calidris alpina",621,"Finland"
2023,"FI","Calidris ferruginea",158,"Finland"
2023,"FI","Calidris maritima",94,"Finland"
2023,"FI","Calidris minuta",222,"Finland"
2023,"FI","Calidris temminckii",652,"Finland"
2023,"NO","Calidris alba",1640,"Norway"
2023,"NO","Calidris alpina",1,"Norway"
2023,"NO","Calidris ferruginea",1078,"Norway"
2023,"NO","Calidris maritima",3395,"Norway"
2023,"NO","Calidris minuta",1848,"Norway"
2023,"NO","Calidris temminckii",1850,"Norway"
2023,"SE","Calidris alba",3233,"Sweden"
2023,"SE","Calidris alpina",656,"Sweden"
2023,"SE","Calidris ferruginea",7226,"Sweden"
2023,"SE","Calidris maritima",4855,"Sweden"
2023,"SE","Calidris minuta",5131,"Sweden"
2023,"SE","Calidris temminckii",5777,"Sweden"
2024,"FI","Calidris alba",48,"Finland"
2024,"FI","Calidris alpina",161,"Finland"
2024,"FI","Calidris ferruginea",141,"Finland"
2024,"FI","Calidris maritima",75,"Finland"
2024,"FI","Calidris minuta",188,"Finland"
2024,"FI","Calidris temminckii",644,"Finland"
2024,"NO","Calidris alba",1735,"Norway"
2024,"NO","Calidris alpina",2,"Norway"
2024,"NO","Calidris ferruginea",752,"Norway"
2024,"NO","Calidris maritima",4146,"Norway"
2024,"NO","Calidris minuta",1525,"Norway"
2024,"NO","Calidris temminckii",1585,"Norway"
2024,"SE","Calidris alba",2223,"Sweden"
2024,"SE","Calidris alpina",623,"Sweden"
2024,"SE","Calidris ferruginea",5035,"Sweden"
2024,"SE","Calidris maritima",5236,"Sweden"
2024,"SE","Calidris minuta",2821,"Sweden"
2024,"SE","Calidris temminckii",4403,"Sweden"
2025,"FI","Calidris alba",7,"Finland"
2025,"FI","Calidris alpina",62,"Finland"
2025,"FI","Calidris ferruginea",27,"Finland"
2025,"FI","Calidris maritima",13,"Finland"
2025,"FI","Calidris minuta",26,"Finland"
2025,"FI","Calidris temminckii",121,"Finland"
2025,"NO","Calidris alba",1238,"Norway"
2025,"NO","Calidris alpina",1,"Norway"
2025,"NO","Calidris ferruginea",891,"Norway"
2025,"NO","Calidris maritima",2999,"Norway"
2025,"NO","Calidris minuta",1547,"Norway"
2025,"NO","Calidris temminckii",1547,"Norway"
2025,"SE","Calidris alba",2211,"Sweden"
2025,"SE","Calidris alpina",641,"Sweden"
2025,"SE","Calidris ferruginea",4992,"Sweden"
2025,"SE","Calidris maritima",4770,"Sweden"
2025,"SE","Calidris minuta",3219,"Sweden"
2025,"SE","Calidris temminckii",5755,"Sweden"
2026,"FI","Calidris maritima",1,"Finland"
2026,"NO","Calidris alba",4,"Norway"
2026,"NO","Calidris maritima",130,"Norway"
2026,"SE","Calidris alba",32,"Sweden"
2026,"SE","Calidris alpina",2,"Sweden"
2026,"SE","Calidris maritima",485,"Sweden"
