"year","countryCode","species","n_observations","country_name"
1951,"NO","Calidris maritima",4,"Norway"
1951,"NO","Calidris minuta",34,"Norway"
1951,"SE","Calidris alpina",1,"Sweden"
1951,"SE","Calidris ferruginea",3,"Sweden"
1952,"NO","Calidris alba",42,"Norway"
1952,"NO","Calidris ferruginea",12,"Norway"
1952,"NO","Calidris maritima",4,"Norway"
1952,"NO","Calidris minuta",14,"Norway"
1952,"NO","Calidris temminckii",4,"Norway"
1952,"SE","Calidris alpina",1,"Sweden"
1952,"SE","Calidris ferruginea",1,"Sweden"
1952,"SE","Calidris minuta",3,"Sweden"
1952,"SE","Calidris temminckii",3,"Sweden"
1953,"FI","Calidris alpina",2,"Finland"
1953,"FI","Calidris temminckii",7,"Finland"
1953,"NO","Calidris alba",20,"Norway"
1953,"NO","Calidris ferruginea",16,"Norway"
1953,"NO","Calidris maritima",2,"Norway"
1953,"NO","Calidris minuta",30,"Norway"
1953,"NO","Calidris temminckii",1,"Norway"
1953,"SE","Calidris alba",1,"Sweden"
1953,"SE","Calidris ferruginea",10,"Sweden"
1953,"SE","Calidris maritima",1,"Sweden"
1953,"SE","Calidris minuta",10,"Sweden"
1953,"SE","Calidris temminckii",12,"Sweden"
1954,"FI","Calidris temminckii",4,"Finland"
1954,"NO","Calidris alba",12,"Norway"
1954,"NO","Calidris ferruginea",9,"Norway"
1954,"NO","Calidris minuta",5,"Norway"
1954,"NO","Calidris temminckii",1,"Norway"
1954,"SE","Calidris alba",2,"Sweden"
1954,"SE","Calidris ferruginea",11,"Sweden"
1954,"SE","Calidris maritima",2,"Sweden"
1954,"SE","Calidris minuta",14,"Sweden"
1954,"SE","Calidris temminckii",15,"Sweden"
1955,"FI","Calidris alpina",2,"Finland"
1955,"FI","Calidris temminckii",7,"Finland"
1955,"NO","Calidris alba",32,"Norway"
1955,"NO","Calidris ferruginea",14,"Norway"
1955,"NO","Calidris minuta",14,"Norway"
1955,"NO","Calidris temminckii",3,"Norway"
1955,"SE","Calidris alba",3,"Sweden"
1955,"SE","Calidris ferruginea",4,"Sweden"
1955,"SE","Calidris maritima",1,"Sweden"
1955,"SE","Calidris minuta",7,"Sweden"
1955,"SE","Calidris temminckii",11,"Sweden"
1956,"FI","Calidris alpina",1,"Finland"
1956,"FI","Calidris temminckii",3,"Finland"
1956,"NO","Calidris alba",29,"Norway"
1956,"NO","Calidris ferruginea",10,"Norway"
1956,"NO","Calidris minuta",17,"Norway"
1956,"NO","Calidris temminckii",1,"Norway"
1956,"SE","Calidris alba",4,"Sweden"
1956,"SE","Calidris ferruginea",3,"Sweden"
1956,"SE","Calidris maritima",1,"Sweden"
1956,"SE","Calidris minuta",3,"Sweden"
1956,"SE","Calidris temminckii",11,"Sweden"
1957,"FI","Calidris alpina",14,"Finland"
1957,"FI","Calidris ferruginea",10,"Finland"
1957,"FI","Calidris temminckii",18,"Finland"
1957,"NO","Calidris alba",22,"Norway"
1957,"NO","Calidris ferruginea",16,"Norway"
1957,"NO","Calidris maritima",2,"Norway"
1957,"NO","Calidris minuta",36,"Norway"
1957,"NO","Calidris temminckii",3,"Norway"
1957,"SE","Calidris alba",2,"Sweden"
1957,"SE","Calidris ferruginea",14,"Sweden"
1957,"SE","Calidris maritima",1,"Sweden"
1957,"SE","Calidris minuta",15,"Sweden"
1957,"SE","Calidris temminckii",12,"Sweden"
1958,"FI","Calidris alpina",27,"Finland"
1958,"FI","Calidris ferruginea",3,"Finland"
1958,"FI","Calidris minuta",46,"Finland"
1958,"FI","Calidris temminckii",46,"Finland"
1958,"NO","Calidris alba",15,"Norway"
1958,"NO","Calidris maritima",6,"Norway"
1958,"NO","Calidris minuta",11,"Norway"
1958,"NO","Calidris temminckii",1,"Norway"
1958,"SE","Calidris alba",4,"Sweden"
1958,"SE","Calidris ferruginea",8,"Sweden"
1958,"SE","Calidris maritima",2,"Sweden"
1958,"SE","Calidris minuta",14,"Sweden"
1958,"SE","Calidris temminckii",14,"Sweden"
1959,"FI","Calidris alpina",38,"Finland"
1959,"FI","Calidris ferruginea",9,"Finland"
1959,"FI","Calidris minuta",6,"Finland"
1959,"FI","Calidris temminckii",60,"Finland"
1959,"NO","Calidris alba",26,"Norway"
1959,"NO","Calidris ferruginea",10,"Norway"
1959,"NO","Calidris maritima",3,"Norway"
1959,"NO","Calidris minuta",11,"Norway"
1959,"NO","Calidris temminckii",2,"Norway"
1959,"SE","Calidris alba",7,"Sweden"
1959,"SE","Calidris ferruginea",25,"Sweden"
1959,"SE","Calidris maritima",10,"Sweden"
1959,"SE","Calidris minuta",42,"Sweden"
1959,"SE","Calidris temminckii",42,"Sweden"
1960,"FI","Calidris alba",6,"Finland"
1960,"FI","Calidris alpina",20,"Finland"
1960,"FI","Calidris ferruginea",16,"Finland"
1960,"FI","Calidris minuta",209,"Finland"
1960,"FI","Calidris temminckii",115,"Finland"
1960,"NO","Calidris alba",30,"Norway"
1960,"NO","Calidris ferruginea",14,"Norway"
1960,"NO","Calidris maritima",1,"Norway"
1960,"NO","Calidris minuta",35,"Norway"
1960,"NO","Calidris temminckii",7,"Norway"
1960,"SE","Calidris alba",20,"Sweden"
1960,"SE","Calidris alpina",1,"Sweden"
1960,"SE","Calidris ferruginea",42,"Sweden"
1960,"SE","Calidris maritima",6,"Sweden"
1960,"SE","Calidris minuta",86,"Sweden"
1960,"SE","Calidris temminckii",63,"Sweden"
1961,"FI","Calidris alba",2,"Finland"
1961,"FI","Calidris alpina",3,"Finland"
1961,"FI","Calidris ferruginea",29,"Finland"
1961,"FI","Calidris minuta",291,"Finland"
1961,"FI","Calidris temminckii",75,"Finland"
1961,"NO","Calidris alba",24,"Norway"
1961,"NO","Calidris ferruginea",3,"Norway"
1961,"NO","Calidris maritima",3,"Norway"
1961,"NO","Calidris minuta",17,"Norway"
1961,"NO","Calidris temminckii",1,"Norway"
1961,"SE","Calidris alba",19,"Sweden"
1961,"SE","Calidris alpina",2,"Sweden"
1961,"SE","Calidris ferruginea",85,"Sweden"
1961,"SE","Calidris maritima",16,"Sweden"
1961,"SE","Calidris minuta",94,"Sweden"
1961,"SE","Calidris temminckii",95,"Sweden"
1962,"FI","Calidris alpina",90,"Finland"
1962,"FI","Calidris ferruginea",31,"Finland"
1962,"FI","Calidris minuta",59,"Finland"
1962,"FI","Calidris temminckii",124,"Finland"
1962,"NO","Calidris alba",5,"Norway"
1962,"NO","Calidris ferruginea",8,"Norway"
1962,"NO","Calidris maritima",6,"Norway"
1962,"NO","Calidris minuta",9,"Norway"
1962,"NO","Calidris temminckii",4,"Norway"
1962,"SE","Calidris alba",21,"Sweden"
1962,"SE","Calidris alpina",18,"Sweden"
1962,"SE","Calidris ferruginea",70,"Sweden"
1962,"SE","Calidris maritima",1,"Sweden"
1962,"SE","Calidris minuta",82,"Sweden"
1962,"SE","Calidris temminckii",115,"Sweden"
1963,"FI","Calidris alba",4,"Finland"
1963,"FI","Calidris alpina",91,"Finland"
1963,"FI","Calidris ferruginea",60,"Finland"
1963,"FI","Calidris minuta",240,"Finland"
1963,"FI","Calidris temminckii",202,"Finland"
1963,"NO","Calidris alba",2,"Norway"
1963,"NO","Calidris ferruginea",28,"Norway"
1963,"NO","Calidris maritima",5,"Norway"
1963,"NO","Calidris minuta",15,"Norway"
1963,"NO","Calidris temminckii",30,"Norway"
1963,"SE","Calidris alba",16,"Sweden"
1963,"SE","Calidris alpina",9,"Sweden"
1963,"SE","Calidris ferruginea",83,"Sweden"
1963,"SE","Calidris maritima",13,"Sweden"
1963,"SE","Calidris minuta",88,"Sweden"
1963,"SE","Calidris temminckii",143,"Sweden"
1964,"FI","Calidris alba",2,"Finland"
1964,"FI","Calidris alpina",157,"Finland"
1964,"FI","Calidris ferruginea",27,"Finland"
1964,"FI","Calidris maritima",1,"Finland"
1964,"FI","Calidris minuta",207,"Finland"
1964,"FI","Calidris temminckii",149,"Finland"
1964,"NO","Calidris alba",8,"Norway"
1964,"NO","Calidris ferruginea",36,"Norway"
1964,"NO","Calidris maritima",3,"Norway"
1964,"NO","Calidris minuta",56,"Norway"
1964,"NO","Calidris temminckii",16,"Norway"
1964,"SE","Calidris alba",28,"Sweden"
1964,"SE","Calidris alpina",12,"Sweden"
1964,"SE","Calidris ferruginea",48,"Sweden"
1964,"SE","Calidris maritima",9,"Sweden"
1964,"SE","Calidris minuta",143,"Sweden"
1964,"SE","Calidris temminckii",118,"Sweden"
1965,"FI","Calidris alba",2,"Finland"
1965,"FI","Calidris alpina",201,"Finland"
1965,"FI","Calidris ferruginea",10,"Finland"
1965,"FI","Calidris maritima",5,"Finland"
1965,"FI","Calidris minuta",96,"Finland"
1965,"FI","Calidris temminckii",146,"Finland"
1965,"NO","Calidris alba",13,"Norway"
1965,"NO","Calidris ferruginea",12,"Norway"
1965,"NO","Calidris maritima",8,"Norway"
1965,"NO","Calidris minuta",24,"Norway"
1965,"NO","Calidris temminckii",28,"Norway"
1965,"SE","Calidris alba",23,"Sweden"
1965,"SE","Calidris alpina",6,"Sweden"
1965,"SE","Calidris ferruginea",62,"Sweden"
